emp_no,first_name,birth_date,from_date,to_date,title
89161,Conal,1965-01-07,1991-01-12,9999-01-01,Staff
89207,Along,1965-01-15,1992-10-16,9999-01-01,Staff
89346,Mansur,1965-01-13,1999-08-31,9999-01-01,Engineer
89590,Guther,1965-01-27,1991-08-08,9999-01-01,Senior Staff
89664,Pranjal,1965-01-20,1998-07-07,9999-01-01,Staff
89680,Aiman,1965-01-27,1988-05-01,9999-01-01,Senior Engineer
89806,Xiadong,1965-01-27,1997-05-24,9999-01-01,Senior Engineer
89922,Alexius,1965-01-26,1988-04-24,9999-01-01,Engineer
89941,Arnould,1965-01-23,1989-07-28,9999-01-01,Senior Staff
90077,Vivian,1965-01-24,1991-07-08,9999-01-01,Assistant Engineer
90084,Renny,1965-01-01,1989-11-22,9999-01-01,Senior Engineer
90211,Bader,1965-01-15,1997-10-06,9999-01-01,Engineer
90292,Koichi,1965-01-09,1990-05-26,9999-01-01,Engineer
90518,Fumiko,1965-01-24,1988-01-28,9999-01-01,Staff
90614,Yonghoan,1965-01-29,1988-09-23,9999-01-01,Engineer
90692,Rajmohan,1965-01-03,1985-09-14,9999-01-01,Staff
91172,Kazuhisa,1965-01-19,1987-07-16,9999-01-01,Staff
91182,Lucien,1965-01-04,1988-08-25,9999-01-01,Senior Engineer
91229,Yahiko,1965-01-01,1996-10-03,9999-01-01,Senior Engineer
91256,Gunilla,1965-01-13,1998-01-09,9999-01-01,Staff
91333,Lobel,1965-01-27,1998-11-29,9999-01-01,Staff
91415,Jamaludin,1965-01-04,1987-01-15,9999-01-01,Senior Staff
91648,Dmitry,1965-01-29,1988-10-22,9999-01-01,Staff
92438,Aria,1965-01-04,1992-04-11,9999-01-01,Engineer
92454,Visit,1965-01-24,1987-10-22,9999-01-01,Senior Engineer
92577,Zhanqiu,1965-01-06,1999-01-10,9999-01-01,Assistant Engineer
92598,Ranga,1965-01-18,1996-05-11,9999-01-01,Assistant Engineer
92685,Mang,1965-01-26,1995-06-07,9999-01-01,Senior Staff
92841,Claude,1965-01-22,1993-08-04,9999-01-01,Senior Staff
92846,Anyuan,1965-01-11,1986-09-05,9999-01-01,Senior Staff
92920,Huei,1965-01-20,1993-01-28,9999-01-01,Senior Engineer
93040,Jaques,1965-01-19,1992-03-13,9999-01-01,Senior Engineer
93220,Richara,1965-01-11,1996-08-27,9999-01-01,Senior Engineer
93278,Magdalena,1965-02-01,1997-01-04,9999-01-01,Senior Engineer
93549,Arie,1965-02-01,2000-03-28,9999-01-01,Staff
93600,Kristina,1965-01-13,1988-04-18,9999-01-01,Technique Leader
94331,Ramzi,1965-01-26,1999-09-03,9999-01-01,Technique Leader
94416,Aran,1965-01-01,2001-11-20,9999-01-01,Senior Staff
94761,Hitofumi,1965-01-27,1988-11-22,9999-01-01,Senior Engineer
94944,Heping,1965-01-13,1988-06-24,9999-01-01,Senior Engineer
95181,Yishai,1965-01-28,1997-01-30,9999-01-01,Staff
95286,Kristin,1965-01-18,1989-08-23,9999-01-01,Engineer
95314,Rasiah,1965-01-22,1991-08-21,9999-01-01,Staff
95406,Alair,1965-01-08,1997-07-12,9999-01-01,Engineer
95416,Gianluca,1965-01-13,1993-11-29,9999-01-01,Engineer
95509,Kristinn,1965-01-11,1995-02-08,9999-01-01,Engineer
95920,Nobuyoshi,1965-01-19,1994-09-07,9999-01-01,Staff
96571,Kokou,1965-01-13,1997-11-05,9999-01-01,Senior Engineer
96579,Mohan,1965-01-18,1996-02-10,9999-01-01,Engineer
96767,Arumugam,1965-01-07,1985-08-14,9999-01-01,Engineer
97018,Jeanna,1965-01-09,1989-01-01,9999-01-01,Engineer
97623,Haldon,1965-01-25,1990-09-11,9999-01-01,Staff
97661,Avishai,1965-01-31,1993-05-08,9999-01-01,Staff
98288,Sumali,1965-01-12,1989-09-12,9999-01-01,Senior Staff
98306,Ziya,1965-01-16,1999-06-24,9999-01-01,Senior Engineer
98639,Florina,1965-01-29,1996-05-18,9999-01-01,Staff
99057,Shugo,1965-01-30,1999-06-21,9999-01-01,Staff
99373,Xiaobin,1965-01-13,1985-12-25,9999-01-01,Senior Staff
99377,Carrsten,1965-01-18,1991-06-16,9999-01-01,Senior Engineer
99590,Dhritiman,1965-01-24,1998-12-16,9999-01-01,Staff
99654,Mahendra,1965-01-30,1985-09-28,9999-01-01,Senior Staff
100865,Hisao,1965-01-19,1990-10-03,9999-01-01,Engineer
100916,Heejo,1965-01-18,1992-04-22,9999-01-01,Engineer
101487,Abdelaziz,1965-01-14,1991-01-31,9999-01-01,Staff
101647,Mori,1965-01-22,1994-05-10,9999-01-01,Staff
101902,Mantis,1965-01-14,1991-03-18,9999-01-01,Senior Staff
102620,Adin,1965-01-03,1999-08-12,9999-01-01,Engineer
103196,Djenana,1965-01-16,1988-07-16,9999-01-01,Staff
103310,Visit,1965-01-07,1995-10-02,9999-01-01,Senior Staff
103316,Susanne,1965-01-03,1994-07-27,9999-01-01,Senior Engineer
103342,Beshir,1965-01-03,1998-02-03,9999-01-01,Engineer
103756,Heping,1965-01-31,1992-04-08,9999-01-01,Assistant Engineer
104133,Pranjal,1965-01-31,1991-07-03,9999-01-01,Staff
104845,Werner,1965-01-29,1992-06-17,9999-01-01,Staff
104988,Parviz,1965-01-07,1992-08-08,9999-01-01,Engineer
105342,Kwun,1965-01-01,1999-07-29,9999-01-01,Technique Leader
105356,Diederik,1965-01-29,1995-03-08,9999-01-01,Engineer
105432,Mohamadou,1965-01-08,1995-09-12,9999-01-01,Senior Engineer
105520,Haldun,1965-01-01,1987-01-29,9999-01-01,Senior Staff
105731,Sachem,1965-01-15,1990-08-20,9999-01-01,Assistant Engineer
106096,Naftali,1965-01-14,1992-12-02,9999-01-01,Senior Engineer
106242,Nevio,1965-02-01,1988-03-25,9999-01-01,Staff
106695,Lijie,1965-01-31,1988-10-26,9999-01-01,Staff
106710,Babette,1965-01-31,1986-11-22,9999-01-01,Staff
107486,Siamak,1965-01-23,1987-02-11,9999-01-01,Senior Engineer
107737,Fabrizio,1965-01-23,1999-07-31,9999-01-01,Senior Engineer
107792,Shahab,1965-01-13,1992-03-18,9999-01-01,Senior Staff
107828,Ramya,1965-01-26,1989-02-03,9999-01-01,Senior Staff
108091,Hisao,1965-01-09,1985-11-14,9999-01-01,Senior Staff
108198,Randi,1965-01-24,1992-10-20,9999-01-01,Staff
108316,Shai,1965-01-02,1992-05-21,9999-01-01,Senior Engineer
108988,Oksana,1965-01-19,1989-07-20,9999-01-01,Staff
109062,Jamaludin,1965-02-01,1992-06-19,9999-01-01,Senior Engineer
109211,Gor,1965-01-11,2002-06-18,9999-01-01,Senior Engineer
109252,Moty,1965-01-15,1991-04-28,9999-01-01,Technique Leader
109278,Bangqing,1965-01-21,1988-03-22,9999-01-01,Staff
109552,Menkae,1965-01-31,1997-05-21,9999-01-01,Engineer
109598,Stamatina,1965-02-01,1988-07-05,9999-01-01,Senior Staff
109620,Mani,1965-01-02,1989-06-21,9999-01-01,Staff
109703,Arco,1965-01-17,1999-08-16,9999-01-01,Engineer
109741,Hatem,1965-01-11,1991-11-13,9999-01-01,Senior Engineer
109953,Godehard,1965-01-26,1988-04-10,9999-01-01,Staff
200267,Chuanti,1965-01-08,1994-09-21,9999-01-01,Senior Staff
200312,Akemi,1965-01-27,2001-11-13,9999-01-01,Senior Engineer
200363,Kirk,1965-01-10,1987-06-30,9999-01-01,Engineer
200735,Dinah,1965-01-09,1992-09-21,9999-01-01,Senior Staff
200789,Susumu,1965-01-14,1991-12-15,9999-01-01,Staff
201229,Alejandra,1965-01-03,1994-07-30,9999-01-01,Staff
201708,Anneli,1965-01-15,1992-09-08,9999-01-01,Senior Staff
201709,Fan,1965-01-01,1988-02-25,9999-01-01,Senior Staff
201739,Genta,1965-01-16,1998-07-21,9999-01-01,Assistant Engineer
201801,Waiman,1965-01-12,1988-10-30,9999-01-01,Engineer
201915,Sudharsan,1965-01-02,1992-03-30,9999-01-01,Senior Engineer
202291,Ortrun,1965-01-16,1997-07-18,9999-01-01,Engineer
202403,Gully,1965-01-09,1999-07-07,9999-01-01,Engineer
202414,Zvonko,1965-01-13,1992-01-07,9999-01-01,Senior Staff
202552,Morris,1965-01-05,1991-11-22,9999-01-01,Senior Engineer
202826,Kerhong,1965-01-19,1986-11-14,9999-01-01,Senior Engineer
202882,Isaac,1965-01-25,1995-09-28,9999-01-01,Senior Engineer
202950,Giordano,1965-01-17,1987-03-26,9999-01-01,Senior Staff
203474,Hugh,1965-01-03,1991-07-06,9999-01-01,Staff
203495,Zongyan,1965-01-02,1997-05-31,9999-01-01,Technique Leader
203599,Ewing,1965-01-21,2000-02-01,9999-01-01,Technique Leader
203720,Sasan,1965-01-30,1996-08-21,9999-01-01,Senior Staff
203946,Yefim,1965-01-23,1993-03-30,9999-01-01,Staff
204117,Jessie,1965-01-10,2000-12-13,9999-01-01,Staff
204133,Susuma,1965-01-22,1996-02-25,9999-01-01,Senior Staff
204246,Arve,1965-01-09,1985-04-01,9999-01-01,Staff
204425,Gretta,1965-01-03,1990-10-08,9999-01-01,Senior Engineer
204470,Hein,1965-01-22,1998-05-02,9999-01-01,Staff
204471,Franziska,1965-01-27,1986-02-17,9999-01-01,Senior Engineer
204764,Susanne,1965-01-22,1990-11-02,9999-01-01,Senior Engineer
205018,Yahiko,1965-01-26,1998-08-05,9999-01-01,Engineer
205085,Moni,1965-01-23,1991-09-26,9999-01-01,Technique Leader
205174,Leszek,1965-01-05,1998-12-10,9999-01-01,Staff
205500,Mary,1965-01-04,1989-01-13,9999-01-01,Senior Engineer
205627,Stabislas,1965-01-21,1996-07-16,9999-01-01,Engineer
205660,Kien,1965-01-27,2000-10-24,9999-01-01,Staff
205699,Youjian,1965-01-31,1994-12-07,9999-01-01,Staff
205789,Limsoon,1965-01-31,1999-08-10,9999-01-01,Senior Staff
205863,Aiichiro,1965-01-06,1990-10-04,9999-01-01,Engineer
206748,Yucai,1965-01-07,1999-10-06,9999-01-01,Staff
206836,Guadalupe,1965-01-12,1993-03-22,9999-01-01,Staff
206966,Tzu,1965-01-21,1987-11-17,9999-01-01,Engineer
207021,Jacqueline,1965-01-20,1997-12-06,9999-01-01,Engineer
207068,Zhiguo,1965-01-13,1994-09-07,9999-01-01,Senior Staff
207204,Kellie,1965-01-25,1991-01-17,9999-01-01,Engineer
207401,Shuji,1965-01-04,1987-08-10,9999-01-01,Senior Staff
207551,Baziley,1965-01-15,1995-02-18,9999-01-01,Assistant Engineer
207779,Chinya,1965-01-16,1992-05-31,9999-01-01,Senior Staff
207980,Remko,1965-01-07,1990-11-22,9999-01-01,Staff
208147,Manu,1965-01-09,1988-12-06,9999-01-01,Senior Engineer
208330,Shen,1965-01-11,1989-07-03,9999-01-01,Staff
208639,Larisa,1965-01-27,1996-10-30,9999-01-01,Senior Staff
208653,Phillip,1965-01-23,1989-03-03,9999-01-01,Engineer
208784,Pranjal,1965-01-30,1985-03-21,9999-01-01,Senior Engineer
209101,Xinyu,1965-01-05,1997-10-26,9999-01-01,Senior Engineer
209443,Krassimir,1965-01-19,1998-01-26,9999-01-01,Senior Staff
209565,Dante,1965-01-09,1989-05-28,9999-01-01,Staff
209712,Nimmagadda,1965-01-17,1987-10-30,9999-01-01,Engineer
210017,Shalesh,1965-01-28,1990-09-29,9999-01-01,Staff
210292,Lihong,1965-01-18,1996-04-28,9999-01-01,Staff
210449,Gino,1965-01-19,1997-06-22,9999-01-01,Engineer
210752,Saniya,1965-01-25,1986-12-10,9999-01-01,Senior Staff
210786,Werner,1965-01-31,1998-06-05,9999-01-01,Staff
211858,Domenico,1965-01-08,1985-03-24,9999-01-01,Senior Engineer
211879,Gao,1965-01-12,1994-11-24,9999-01-01,Senior Engineer
211967,Anwar,1965-01-07,1989-01-22,9999-01-01,Engineer
212093,Leni,1965-01-11,1993-11-19,9999-01-01,Staff
212154,Sailaja,1965-01-17,1991-03-04,9999-01-01,Staff
212361,Claudi,1965-01-16,1996-01-07,9999-01-01,Engineer
213016,Yongmao,1965-01-22,1993-07-26,9999-01-01,Senior Engineer
213140,Tru,1965-01-10,1997-03-31,9999-01-01,Staff
213384,Pranas,1965-01-04,1985-09-26,9999-01-01,Engineer
213447,Armond,1965-02-01,1989-09-14,9999-01-01,Engineer
214215,Xiaoqiang,1965-01-25,1993-05-28,9999-01-01,Senior Staff
214391,Rayond,1965-01-15,1993-09-11,9999-01-01,Staff
214427,Peer,1965-01-29,1996-11-17,9999-01-01,Engineer
214539,Ingmar,1965-01-27,1995-04-25,9999-01-01,Engineer
214634,Shirish,1965-01-12,1989-10-24,9999-01-01,Engineer
214789,Arfst,1965-01-28,1989-02-06,9999-01-01,Engineer
214866,Gopalakrishnan,1965-02-01,1997-07-05,9999-01-01,Senior Engineer
214995,Dinkar,1965-01-12,1994-05-04,9999-01-01,Engineer
215419,Flemming,1965-01-16,1995-01-23,9999-01-01,Staff
215629,Munehiro,1965-01-15,1987-05-18,9999-01-01,Staff
215746,Sven,1965-01-08,1999-07-08,9999-01-01,Staff
215843,Pramod,1965-01-30,1987-03-31,9999-01-01,Staff
216054,Sahrah,1965-01-24,1986-07-31,9999-01-01,Senior Staff
216342,Aiichiro,1965-01-22,1995-06-10,9999-01-01,Senior Engineer
216375,Byong,1965-01-16,1985-03-12,9999-01-01,Senior Engineer
216502,Xiaocheng,1965-01-26,1997-12-15,9999-01-01,Engineer
216573,Ashish,1965-01-29,1989-06-16,9999-01-01,Senior Engineer
216921,Lena,1965-01-22,1990-12-25,9999-01-01,Staff
217026,Otmar,1965-01-11,1993-08-16,9999-01-01,Staff
217080,Masami,1965-01-12,2000-01-21,9999-01-01,Senior Engineer
217272,Yuchang,1965-01-21,1986-08-01,9999-01-01,Senior Staff
217286,Yannik,1965-01-05,1992-09-22,9999-01-01,Technique Leader
217320,Abdelwaheb,1965-01-10,1993-09-10,9999-01-01,Engineer
217363,Horward,1965-01-14,1996-04-11,9999-01-01,Staff
217387,Jianhao,1965-01-21,1987-10-22,9999-01-01,Senior Engineer
217551,Panayotis,1965-01-02,1989-06-06,9999-01-01,Engineer
217800,Shay,1965-02-01,1998-08-06,9999-01-01,Senior Staff
218022,Mokhtar,1965-01-26,1992-02-02,9999-01-01,Technique Leader
218100,Jiong,1965-01-24,1990-01-02,9999-01-01,Staff
218831,Unal,1965-01-16,1996-03-13,9999-01-01,Engineer
219035,Kristine,1965-01-18,1988-05-13,9999-01-01,Technique Leader
219047,Aemilian,1965-01-30,1987-05-27,9999-01-01,Senior Engineer
219052,Marsal,1965-01-06,1995-08-02,9999-01-01,Staff
219417,Subhrajyoti,1965-01-29,1996-07-25,9999-01-01,Staff
219497,Moie,1965-01-22,1991-10-11,9999-01-01,Technique Leader
219967,Susanna,1965-01-16,1998-03-16,9999-01-01,Senior Staff
220029,Demos,1965-01-17,1985-11-04,9999-01-01,Senior Engineer
220131,Reinhard,1965-01-09,1994-06-08,9999-01-01,Senior Engineer
220418,Poorav,1965-01-23,1997-08-16,9999-01-01,Staff
220528,Sibyl,1965-01-06,1998-02-23,9999-01-01,Senior Staff
220582,Poornachandra,1965-01-08,1996-02-13,9999-01-01,Staff
220611,Yuping,1965-01-23,1995-01-31,9999-01-01,Senior Staff
220625,Shigenori,1965-01-25,1992-12-24,9999-01-01,Technique Leader
220699,Nahid,1965-01-07,1995-08-18,9999-01-01,Staff
220799,Perla,1965-01-17,1998-10-13,9999-01-01,Senior Engineer
221126,Tesuya,1965-01-23,1988-11-29,9999-01-01,Senior Engineer
221367,Saddek,1965-01-13,1990-11-06,9999-01-01,Senior Staff
221369,Abdulah,1965-01-28,1996-08-28,9999-01-01,Engineer
221435,Djenana,1965-01-06,1994-02-06,9999-01-01,Engineer
221973,Sangeeta,1965-01-17,1990-06-06,9999-01-01,Staff
222206,Stein,1965-01-21,1988-01-30,9999-01-01,Staff
222311,Miyeon,1965-01-20,1992-12-05,9999-01-01,Senior Engineer
222319,Matt,1965-01-20,1994-11-09,9999-01-01,Senior Engineer
222354,Valdiodio,1965-01-15,1993-08-07,9999-01-01,Engineer
222616,Badri,1965-02-01,1998-01-19,9999-01-01,Assistant Engineer
222770,Kazuhiko,1965-01-22,1995-08-01,9999-01-01,Senior Engineer
222878,Annemarie,1965-01-10,1996-12-01,9999-01-01,Senior Engineer
222926,Limsoon,1965-01-10,1997-12-31,9999-01-01,Senior Engineer
222952,Gopalakrishnan,1965-01-28,1991-04-30,9999-01-01,Senior Engineer
222998,Leaf,1965-01-07,1992-10-02,9999-01-01,Senior Staff
223593,Hidefumi,1965-01-20,1998-03-04,9999-01-01,Staff
223595,Chiranjit,1965-02-01,1999-09-05,9999-01-01,Technique Leader
224135,Annemarie,1965-01-02,1998-06-23,9999-01-01,Engineer
224335,Perry,1965-01-29,1985-07-22,9999-01-01,Senior Engineer
224390,True,1965-01-24,1996-05-17,9999-01-01,Senior Staff
224934,George,1965-01-05,1988-01-02,9999-01-01,Senior Staff
225438,Remmert,1965-01-14,1992-04-28,9999-01-01,Senior Staff
225601,Masasuke,1965-01-13,1994-06-25,9999-01-01,Engineer
225788,Ipke,1965-01-08,1995-12-18,9999-01-01,Engineer
225867,Ramalingam,1965-01-26,1999-09-03,9999-01-01,Senior Engineer
225964,Mooi,1965-01-19,1989-06-07,9999-01-01,Engineer
226216,Giordano,1965-01-28,1993-08-14,9999-01-01,Technique Leader
226227,Herbert,1965-01-07,1986-09-06,9999-01-01,Senior Engineer
227354,Gio,1965-01-12,1986-11-11,9999-01-01,Engineer
227476,Macha,1965-01-11,1988-05-11,9999-01-01,Engineer
227681,Mikhail,1965-01-30,1998-11-30,9999-01-01,Staff
227899,Garnik,1965-01-23,1998-09-15,9999-01-01,Staff
227901,Francesca,1965-01-26,1996-06-08,9999-01-01,Staff
228098,IEEE,1965-01-18,1998-02-17,9999-01-01,Engineer
228248,Yuriy,1965-01-09,1988-09-08,9999-01-01,Staff
228554,Bilhanan,1965-01-03,1990-12-23,9999-01-01,Senior Staff
228766,Nahla,1965-01-11,1993-02-12,9999-01-01,Engineer
229098,Berry,1965-01-08,1995-08-16,9999-01-01,Senior Staff
229220,Fabrizio,1965-01-21,1987-02-09,9999-01-01,Senior Engineer
229248,Harjit,1965-01-27,1995-10-19,9999-01-01,Staff
229386,Pohua,1965-01-03,1994-11-04,9999-01-01,Technique Leader
229391,Paloma,1965-01-15,1991-06-11,9999-01-01,Engineer
229404,Gilbert,1965-01-11,1996-04-05,9999-01-01,Staff
229547,Moni,1965-01-03,1986-07-04,9999-01-01,Senior Staff
229727,Ewing,1965-01-23,1999-09-28,9999-01-01,Engineer
229981,Jamaludin,1965-01-19,1992-02-06,9999-01-01,Senior Engineer
230002,Tadahiro,1965-01-07,1991-10-02,9999-01-01,Senior Engineer
230126,Bezalel,1965-01-31,1988-07-02,9999-01-01,Senior Staff
230287,Renny,1965-01-14,1997-09-28,9999-01-01,Assistant Engineer
230354,Yinghua,1965-01-31,1991-08-09,9999-01-01,Staff
230498,Kolar,1965-01-15,1990-04-25,9999-01-01,Engineer
230579,Shahar,1965-01-17,1994-03-19,9999-01-01,Senior Staff
230689,Dietrich,1965-01-14,1986-05-24,9999-01-01,Senior Staff
230865,Takushi,1965-01-02,1999-06-03,9999-01-01,Staff
231069,Trygve,1965-01-22,1995-11-09,9999-01-01,Staff
231459,Nectarios,1965-01-28,1999-11-18,9999-01-01,Assistant Engineer
231671,Chandrasekaran,1965-01-07,1995-04-14,9999-01-01,Staff
231798,Goetz,1965-01-28,1988-12-25,9999-01-01,Engineer
232178,Etsuo,1965-01-29,1989-12-13,9999-01-01,Senior Staff
232209,Nitsan,1965-01-11,1988-08-01,9999-01-01,Senior Engineer
232697,Barry,1965-01-23,1990-09-07,9999-01-01,Senior Engineer
232723,Tesuya,1965-01-14,1993-02-13,9999-01-01,Engineer
233114,Alselm,1965-01-20,1987-12-25,9999-01-01,Senior Engineer
233394,Khalid,1965-01-06,1995-12-24,9999-01-01,Engineer
233397,Fay,1965-01-16,1990-07-07,9999-01-01,Staff
233426,Etsuo,1965-01-12,1995-03-02,9999-01-01,Senior Engineer
233690,Cedric,1965-01-17,1994-09-08,9999-01-01,Engineer
233759,Zissis,1965-01-14,2000-05-27,9999-01-01,Engineer
233765,Kotesh,1965-01-20,1991-03-25,9999-01-01,Senior Engineer
233785,Baziley,1965-01-30,1987-07-28,9999-01-01,Staff
233818,Kellie,1965-01-01,1985-11-11,9999-01-01,Senior Engineer
234195,Luerbio,1965-01-07,1991-05-14,9999-01-01,Senior Staff
234739,Foong,1965-01-31,1986-06-28,9999-01-01,Senior Engineer
235017,Irena,1965-01-17,1991-09-07,9999-01-01,Staff
235096,Sverrir,1965-01-21,1995-07-30,9999-01-01,Staff
235325,Gro,1965-01-06,1992-10-16,9999-01-01,Engineer
235368,Anneli,1965-01-09,1987-04-12,9999-01-01,Senior Engineer
235458,Gio,1965-01-05,1992-06-28,9999-01-01,Staff
235729,Henk,1965-02-01,1993-01-19,9999-01-01,Senior Staff
235780,Sampalli,1965-01-17,1994-04-08,9999-01-01,Senior Engineer
235793,Jayesh,1965-01-03,1999-01-16,9999-01-01,Senior Engineer
236315,IEEE,1965-01-31,1996-07-24,9999-01-01,Technique Leader
236566,Yechezkel,1965-01-17,1992-12-11,9999-01-01,Staff
236591,Insup,1965-01-11,1985-04-08,9999-01-01,Staff
236827,Almudena,1965-01-28,1994-02-16,9999-01-01,Engineer
236883,Huan,1965-01-27,1999-11-19,9999-01-01,Staff
236964,Adel,1965-01-17,2000-03-20,9999-01-01,Staff
238112,Miomir,1965-01-12,1991-05-25,9999-01-01,Technique Leader
238252,Uno,1965-01-09,1996-12-27,9999-01-01,Staff
238422,Vishv,1965-01-10,1988-03-08,9999-01-01,Staff
238949,Minghong,1965-01-09,1987-10-04,9999-01-01,Senior Staff
239067,Tadahiko,1965-01-11,1996-04-02,9999-01-01,Staff
239244,Abdulla,1965-01-13,1987-02-20,9999-01-01,Senior Staff
239415,Susumu,1965-01-01,1993-04-17,9999-01-01,Engineer
239426,Vesna,1965-01-08,2002-05-07,9999-01-01,Engineer
239664,Sugwoo,1965-01-04,1992-08-02,9999-01-01,Senior Engineer
239706,Arunas,1965-01-15,1997-04-03,9999-01-01,Assistant Engineer
239748,Bilhanan,1965-01-23,1988-06-04,9999-01-01,Senior Staff
239803,Oscal,1965-01-30,1992-05-19,9999-01-01,Senior Staff
240132,Mizuhito,1965-02-01,1996-08-09,9999-01-01,Senior Staff
240236,True,1965-01-24,1986-01-19,9999-01-01,Engineer
240285,Kolar,1965-01-23,1998-11-14,9999-01-01,Staff
240340,Mack,1965-01-14,1985-04-02,9999-01-01,Senior Engineer
240438,Temple,1965-01-02,1992-09-30,9999-01-01,Senior Staff
240870,Francesca,1965-01-06,1992-03-17,9999-01-01,Staff
241100,Cedric,1965-01-23,1990-10-06,9999-01-01,Senior Engineer
241254,Jagoda,1965-01-15,1993-05-11,9999-01-01,Senior Engineer
241292,Uri,1965-01-29,2001-12-11,9999-01-01,Senior Staff
241567,Emran,1965-01-18,1989-05-02,9999-01-01,Senior Engineer
241667,Atilio,1965-01-28,1985-09-04,9999-01-01,Senior Engineer
241728,Limsoon,1965-01-30,1999-08-08,9999-01-01,Senior Engineer
241872,Bluma,1965-01-11,2001-11-14,9999-01-01,Staff
242019,Herb,1965-01-09,2001-10-28,9999-01-01,Senior Engineer
242081,Tomokazu,1965-01-12,1996-11-15,9999-01-01,Engineer
242104,Richara,1965-01-05,1989-09-05,9999-01-01,Staff
242500,Bingning,1965-01-08,1989-06-26,9999-01-01,Staff
242800,Kazuyasu,1965-01-11,1996-02-10,9999-01-01,Engineer
243018,Bowen,1965-01-02,1998-12-27,9999-01-01,Senior Staff
243077,Kazunori,1965-02-01,1999-02-25,9999-01-01,Senior Engineer
243576,Abdulah,1965-01-04,1996-11-10,9999-01-01,Senior Staff
243637,Marjo,1965-01-16,1990-06-24,9999-01-01,Staff
243898,Arch,1965-01-09,1998-05-10,9999-01-01,Staff
244308,Mokhtar,1965-01-10,1991-07-23,9999-01-01,Staff
244605,Masoud,1965-01-22,1998-10-10,9999-01-01,Staff
244624,Boaz,1965-01-31,1987-03-27,9999-01-01,Staff
244711,Rosli,1965-01-25,1991-03-20,9999-01-01,Engineer
244714,Poorav,1965-01-27,1996-05-06,9999-01-01,Senior Engineer
244820,Shigenori,1965-01-15,1987-04-13,9999-01-01,Senior Engineer
244873,Arunachalam,1965-01-04,1986-05-20,9999-01-01,Senior Staff
245164,Filipp,1965-01-23,1996-10-24,9999-01-01,Engineer
245396,Gift,1965-01-31,1995-03-04,9999-01-01,Senior Staff
245664,Manohar,1965-01-18,1998-11-17,9999-01-01,Staff
246146,Zhongwei,1965-01-30,1987-09-04,9999-01-01,Senior Engineer
246244,George,1965-01-09,2000-01-20,9999-01-01,Staff
246364,Alper,1965-01-06,1998-10-29,9999-01-01,Engineer
246764,Shuzo,1965-01-04,1997-11-29,9999-01-01,Staff
246798,Tianruo,1965-01-09,2001-12-07,9999-01-01,Senior Staff
246902,Shih,1965-01-27,1998-04-19,9999-01-01,Staff
247089,Seongbae,1965-01-17,1992-12-10,9999-01-01,Staff
247122,Xiaobin,1965-01-23,1992-02-14,9999-01-01,Senior Staff
247447,Tzu,1965-01-28,1994-03-18,9999-01-01,Engineer
247456,Masako,1965-01-16,1997-07-31,9999-01-01,Engineer
247612,Chiranjit,1965-01-04,1997-05-25,9999-01-01,Engineer
247875,Xiong,1965-01-02,1991-04-23,9999-01-01,Senior Staff
247888,Abdelghani,1965-01-15,1985-09-06,9999-01-01,Engineer
248256,Sajjan,1965-01-05,1996-08-29,9999-01-01,Staff
248351,Jaana,1965-02-01,1985-06-02,9999-01-01,Senior Staff
248758,Snehasis,1965-02-01,1994-12-25,9999-01-01,Staff
248953,Percy,1965-01-29,1996-08-29,9999-01-01,Assistant Engineer
249239,Hideyuki,1965-01-21,1994-05-04,9999-01-01,Senior Engineer
249325,Ute,1965-01-26,1997-06-09,9999-01-01,Staff
249433,Ayonca,1965-01-16,1988-06-03,9999-01-01,Senior Engineer
249504,Dmitry,1965-01-07,1995-10-20,9999-01-01,Engineer
249780,Nechama,1965-01-12,1993-07-09,9999-01-01,Assistant Engineer
249799,Jolita,1965-01-04,1993-12-27,9999-01-01,Senior Engineer
249866,Steen,1965-01-15,1989-01-14,9999-01-01,Staff
249969,Georgi,1965-01-21,1991-06-10,9999-01-01,Senior Engineer
250411,Ranga,1965-01-27,1989-01-20,9999-01-01,Senior Staff
250452,Alexius,1965-01-14,2000-01-17,9999-01-01,Senior Engineer
250748,Kish,1965-01-27,1987-02-10,9999-01-01,Senior Engineer
251166,Hinrich,1965-01-22,1985-10-05,9999-01-01,Staff
251233,Yucel,1965-01-07,1993-02-19,9999-01-01,Senior Engineer
251301,Pintsang,1965-01-30,1989-05-06,9999-01-01,Senior Staff
251341,Divier,1965-01-11,1992-12-05,9999-01-01,Staff
251403,Utpal,1965-01-01,1997-11-19,9999-01-01,Technique Leader
251437,Shichao,1965-01-20,1989-10-17,9999-01-01,Engineer
251645,Bezalel,1965-01-06,1992-06-17,9999-01-01,Staff
251680,Moty,1965-01-05,1990-08-14,9999-01-01,Senior Engineer
251814,Mitsuyuki,1965-01-01,1998-09-14,9999-01-01,Technique Leader
252185,Chaosheng,1965-01-01,1997-04-14,9999-01-01,Engineer
252316,Gill,1965-01-07,1994-10-08,9999-01-01,Senior Engineer
252392,Sanjeeva,1965-01-01,1993-12-26,9999-01-01,Senior Engineer
253029,Thodoros,1965-01-13,1995-04-05,9999-01-01,Engineer
253707,Insup,1965-01-05,1998-02-11,9999-01-01,Staff
253838,Stafford,1965-01-28,1999-02-21,9999-01-01,Assistant Engineer
